R_AB,E_VQE_sim_hard,E_HF,E_qiskit_tot,E_exacta
5.999999999999990000000000000000E-01,-1.858833604536350000000000000000E+00,-2.760305261155220000000000000000E+00,-2.770009377893860000000000000000E+00,-2.770009377935120000000000000000E+00
6.101010101010100000000000000000E-01,-1.884551586647700000000000000000E+00,-2.768744047730710000000000000000E+00,-2.778488587969070000000000000000E+00,-2.778488588008520000000000000000E+00
6.202020202020200000000000000000E-01,-1.895494874770250000000000000000E+00,-2.776558141103250000000000000000E+00,-2.786337443703270000000000000000E+00,-2.786337913560890000000000000000E+00
6.303030303030300000000000000000E-01,-1.915236032921150000000000000000E+00,-2.783789060787440000000000000000E+00,-2.793598349173230000000000000000E+00,-2.793598778206830000000000000000E+00
6.404040404040400000000000000000E-01,-1.935009278551770000000000000000E+00,-2.790475450001480000000000000000E+00,-2.800309348279590000000000000000E+00,-2.800309738232430000000000000000E+00
6.505050505050500000000000000000E-01,-1.956114888200530000000000000000E+00,-2.796653288478840000000000000000E+00,-2.806506343034940000000000000000E+00,-2.806506695768930000000000000000E+00
6.606060606060600000000000000000E-01,-1.964634567729250000000000000000E+00,-2.802356087873280000000000000000E+00,-2.812222777201920000000000000000E+00,-2.812223094494070000000000000000E+00
6.707070707070700000000000000000E-01,-1.984688662145090000000000000000E+00,-2.807615071591460000000000000000E+00,-2.817489815987150000000000000000E+00,-2.817490099702130000000000000000E+00
6.808080808080800000000000000000E-01,-1.997281435369590000000000000000E+00,-2.812459340628030000000000000000E+00,-2.822336512250170000000000000000E+00,-2.822336764324100000000000000000E+00
6.909090909090900000000000000000E-01,-2.012127762562340000000000000000E+00,-2.816916026757300000000000000000E+00,-2.826789959888750000000000000000E+00,-2.826790182258750000000000000000E+00
7.010101010101000000000000000000E-01,-2.022240042798080000000000000000E+00,-2.821010434249850000000000000000E+00,-2.830875435552790000000000000000E+00,-2.830875630189660000000000000000E+00
7.111111111111110000000000000000E-01,-2.036572832543200000000000000000E+00,-2.824766171125180000000000000000E+00,-2.834616530015810000000000000000E+00,-2.834616698905040000000000000000E+00
7.212121212121210000000000000000E-01,-2.049010318335410000000000000000E+00,-2.828205270819730000000000000000E+00,-2.838035269921790000000000000000E+00,-2.838035415005420000000000000000E+00
7.313131313131310000000000000000E-01,-2.057496038498130000000000000000E+00,-2.831348305039040000000000000000E+00,-2.841152230532770000000000000000E+00,-2.841152353772470000000000000000E+00
7.414141414141410000000000000000E-01,-2.073119032800760000000000000000E+00,-2.834214488470460000000000000000E+00,-2.843986640534620000000000000000E+00,-2.843986743879350000000000000000E+00
7.515151515151510000000000000000E-01,-2.085945314811280000000000000000E+00,-2.836821775955860000000000000000E+00,-2.846556479208640000000000000000E+00,-2.846556564544930000000000000000E+00
7.616161616161610000000000000000E-01,-2.092612878410460000000000000000E+00,-2.839186952660120000000000000000E+00,-2.848878566456510000000000000000E+00,-2.848878635669860000000000000000E+00
7.717171717171710000000000000000E-01,-2.102082906085950000000000000000E+00,-2.841325717719070000000000000000E+00,-2.850968646503950000000000000000E+00,-2.850968701438970000000000000000E+00
7.818181818181810000000000000000E-01,-2.113293943944430000000000000000E+00,-2.843252761803920000000000000000E+00,-2.852841465333570000000000000000E+00,-2.852841507827640000000000000000E+00
7.919191919191910000000000000000E-01,-2.121396907319760000000000000000E+00,-2.844981839006260000000000000000E+00,-2.854510842667750000000000000000E+00,-2.854510874415420000000000000000E+00
8.020202020202020000000000000000E-01,-2.131003501524660000000000000000E+00,-2.846525833414580000000000000000E+00,-2.855989738184410000000000000000E+00,-2.855989760876800000000000000000E+00
8.121212121212120000000000000000E-01,-2.134533343517920000000000000000E+00,-2.847896820729220000000000000000E+00,-2.857290313224740000000000000000E+00,-2.857290328493970000000000000000E+00
8.222222222222220000000000000000E-01,-2.195392275496100000000000000000E+00,-2.849106125240340000000000000000E+00,-2.858423987587070000000000000000E+00,-2.858423997014160000000000000000E+00
8.323232323232320000000000000000E-01,-2.197235726331570000000000000000E+00,-2.850164372475410000000000000000E+00,-2.859401492096370000000000000000E+00,-2.859401497155220000000000000000E+00
8.424242424242420000000000000000E-01,-2.211332037279820000000000000000E+00,-2.851081537805940000000000000000E+00,-2.860232916951770000000000000000E+00,-2.860232919046530000000000000000E+00
8.525252525252520000000000000000E-01,-2.210596275269260000000000000000E+00,-2.851866991289620000000000000000E+00,-2.860927756409100000000000000000E+00,-2.860927756878480000000000000000E+00
8.626262626262620000000000000000E-01,-2.217841018256820000000000000000E+00,-2.852529539009680000000000000000E+00,-2.861494949922560000000000000000E+00,-2.861494950019790000000000000000E+00
8.727272727272720000000000000000E-01,-2.223618907896120000000000000000E+00,-2.853077461162040000000000000000E+00,-2.861942919965650000000000000000E+00,-2.861942920850590000000000000000E+00
8.828282828282820000000000000000E-01,-2.228811868358210000000000000000E+00,-2.853518547128450000000000000000E+00,-2.862279606805910000000000000000E+00,-2.862279609547300000000000000000E+00
8.929292929292920000000000000000E-01,-2.238920767957560000000000000000E+00,-2.853860127762720000000000000000E+00,-2.862512500476220000000000000000E+00,-2.862512506044790000000000000000E+00
9.030303030303030000000000000000E-01,-2.240829378849700000000000000000E+00,-2.854109105106060000000000000000E+00,-2.862648595641540000000000000000E+00,-2.862648679390660000000000000000E+00
9.131313131313130000000000000000E-01,-2.248506459703750000000000000000E+00,-2.854271979736460000000000000000E+00,-2.862694721938300000000000000000E+00,-2.862694804695620000000000000000E+00
9.232323232323230000000000000000E-01,-2.249531416983770000000000000000E+00,-2.854354875946000000000000000000E+00,-2.862657106383500000000000000000E+00,-2.862657187874220000000000000000E+00
9.333333333333330000000000000000E-01,-2.254925401477940000000000000000E+00,-2.854363564928950000000000000000E+00,-2.862541708353100000000000000000E+00,-2.862541788359050000000000000000E+00
9.434343434343430000000000000000E-01,-2.258862072226150000000000000000E+00,-2.854303486152660000000000000000E+00,-2.862354161689500000000000000000E+00,-2.862354239961920000000000000000E+00
9.535353535353530000000000000000E-01,-2.264035936418320000000000000000E+00,-2.854179767068580000000000000000E+00,-2.862099793729300000000000000000E+00,-2.862099870044600000000000000000E+00
9.636363636363630000000000000000E-01,-2.269364975038710000000000000000E+00,-2.853997241335950000000000000000E+00,-2.861783643014750000000000000000E+00,-2.861783717151760000000000000000E+00
9.737373737373730000000000000000E-01,-2.276130914010970000000000000000E+00,-2.853760465640010000000000000000E+00,-2.861410475457350000000000000000E+00,-2.861410547248350000000000000000E+00
9.838383838383830000000000000000E-01,-2.275481889213370000000000000000E+00,-2.853473735311230000000000000000E+00,-2.860984799413840000000000000000E+00,-2.860984868693350000000000000000E+00
9.939393939393930000000000000000E-01,-2.279531123395030000000000000000E+00,-2.853141098804800000000000000000E+00,-2.860510879482890000000000000000E+00,-2.860510946072680000000000000000E+00
1.004040404040400000000000000000E+00,-2.286196553916160000000000000000E+00,-2.852766371172280000000000000000E+00,-2.859992749205750000000000000000E+00,-2.859992813003010000000000000000E+00
1.014141414141410000000000000000E+00,-2.285051271719570000000000000000E+00,-2.852353146620310000000000000000E+00,-2.859434223116340000000000000000E+00,-2.859434284010290000000000000000E+00
1.024242424242420000000000000000E+00,-2.292519572474790000000000000000E+00,-2.851904810245410000000000000000E+00,-2.858838907671630000000000000000E+00,-2.858838965576350000000000000000E+00
1.034343434343430000000000000000E+00,-2.292026993260860000000000000000E+00,-2.851424549025280000000000000000E+00,-2.858210211592730000000000000000E+00,-2.858210266439280000000000000000E+00
1.044444444444440000000000000000E+00,-2.300450119724950000000000000000E+00,-2.850915362138770000000000000000E+00,-2.857551355437270000000000000000E+00,-2.857551407224170000000000000000E+00
1.054545454545450000000000000000E+00,-2.299055202443120000000000000000E+00,-2.850380070678630000000000000000E+00,-2.856865380794070000000000000000E+00,-2.856865429473390000000000000000E+00
1.064646464646460000000000000000E+00,-2.302508782379620000000000000000E+00,-2.849821326814180000000000000000E+00,-2.856155158563620000000000000000E+00,-2.856155204138180000000000000000E+00
1.074747474747470000000000000000E+00,-2.304757743415500000000000000000E+00,-2.849241622454070000000000000000E+00,-2.855423397044090000000000000000E+00,-2.855423439586040000000000000000E+00
1.084848484848480000000000000000E+00,-2.310191798143670000000000000000E+00,-2.848643297453280000000000000000E+00,-2.854672649636410000000000000000E+00,-2.854672689172540000000000000000E+00
1.094949494949490000000000000000E+00,-2.308717484914380000000000000000E+00,-2.848028547402990000000000000000E+00,-2.853905321820930000000000000000E+00,-2.853905358419790000000000000000E+00
1.105050505050500000000000000000E+00,-2.308820740125880000000000000000E+00,-2.847399431036670000000000000000E+00,-2.853123678107650000000000000000E+00,-2.853123711838880000000000000000E+00
1.115151515151510000000000000000E+00,-2.313152816457030000000000000000E+00,-2.846757877281620000000000000000E+00,-2.852329848442760000000000000000E+00,-2.852329879428310000000000000000E+00
1.125252525252520000000000000000E+00,-2.321179386563480000000000000000E+00,-2.846105691980850000000000000000E+00,-2.851525834551700000000000000000E+00,-2.851525862876380000000000000000E+00
1.135353535353530000000000000000E+00,-2.317778351231180000000000000000E+00,-2.845444564307010000000000000000E+00,-2.850713515716770000000000000000E+00,-2.850713541491440000000000000000E+00
1.145454545454540000000000000000E+00,-2.319054607699890000000000000000E+00,-2.844776072886640000000000000000E+00,-2.849894654495140000000000000000E+00,-2.849894677880400000000000000000E+00
1.155555555555550000000000000000E+00,-2.320188461613270000000000000000E+00,-2.844101691650890000000000000000E+00,-2.849070902326900000000000000000E+00,-2.849070923392900000000000000000E+00
1.165656565656560000000000000000E+00,-2.327288786396130000000000000000E+00,-2.843422795426410000000000000000E+00,-2.848243804396770000000000000000E+00,-2.848243823346190000000000000000E+00
1.175757575757570000000000000000E+00,-2.327666967143630000000000000000E+00,-2.842740665277980000000000000000E+00,-2.847414805091310000000000000000E+00,-2.847414822042860000000000000000E+00
1.185858585858580000000000000000E+00,-2.324674010662340000000000000000E+00,-2.842056493613520000000000000000E+00,-2.846585252506440000000000000000E+00,-2.846585267592350000000000000000E+00
1.195959595959590000000000000000E+00,-2.330942128782720000000000000000E+00,-2.841371389060220000000000000000E+00,-2.845756403177130000000000000000E+00,-2.845756416545040000000000000000E+00
1.206060606060600000000000000000E+00,-2.334392633313790000000000000000E+00,-2.840686381120100000000000000000E+00,-2.844929426577460000000000000000E+00,-2.844929438346670000000000000000E+00
1.216161616161610000000000000000E+00,-2.330710016335750000000000000000E+00,-2.840002424612000000000000000000E+00,-2.844105409290660000000000000000E+00,-2.844105419619670000000000000000E+00
1.226262626262620000000000000000E+00,-2.329760605017540000000000000000E+00,-2.839320403906950000000000000000E+00,-2.843285359253260000000000000000E+00,-2.843285368277060000000000000000E+00
1.236363636363630000000000000000E+00,-2.333289165382230000000000000000E+00,-2.838641136962990000000000000000E+00,-2.842470209651780000000000000000E+00,-2.842470217474080000000000000000E+00
1.246464646464640000000000000000E+00,-2.333505355981370000000000000000E+00,-2.837965379165370000000000000000E+00,-2.841660822655490000000000000000E+00,-2.841660829401980000000000000000E+00
1.256565656565650000000000000000E+00,-2.335849296267770000000000000000E+00,-2.837293826978100000000000000000E+00,-2.840857993134470000000000000000E+00,-2.840857998928260000000000000000E+00
1.266666666666660000000000000000E+00,-2.337122323830780000000000000000E+00,-2.836627121412260000000000000000E+00,-2.840062452137440000000000000000E+00,-2.840062457087260000000000000000E+00
1.276767676767670000000000000000E+00,-2.338092218498120000000000000000E+00,-2.835965851316870000000000000000E+00,-2.839274870228080000000000000000E+00,-2.839274874424930000000000000000E+00
1.286868686868680000000000000000E+00,-2.341874018955700000000000000000E+00,-2.835310556497920000000000000000E+00,-2.838495860669400000000000000000E+00,-2.838495864201430000000000000000E+00
1.296969696969690000000000000000E+00,-2.342214870594720000000000000000E+00,-2.834661730671240000000000000000E+00,-2.837725982508300000000000000000E+00,-2.837725985455450000000000000000E+00
1.307070707070700000000000000000E+00,-2.340253712132100000000000000000E+00,-2.834019824254950000000000000000E+00,-2.836965743482160000000000000000E+00,-2.836965745933820000000000000000E+00
1.317171717171710000000000000000E+00,-2.343249755853890000000000000000E+00,-2.833385247007420000000000000000E+00,-2.836215602868000000000000000000E+00,-2.836215604890360000000000000000E+00
1.327272727272720000000000000000E+00,-2.343310408303400000000000000000E+00,-2.832758370516530000000000000000E+00,-2.835475974108260000000000000000E+00,-2.835475975757740000000000000000E+00
1.337373737373730000000000000000E+00,-2.344792151568030000000000000000E+00,-2.832139530546330000000000000000E+00,-2.834747227358830000000000000000E+00,-2.834747228696470000000000000000E+00
1.347474747474740000000000000000E+00,-2.345156947402420000000000000000E+00,-2.831529029247120000000000000000E+00,-2.834029691952910000000000000000E+00,-2.834029693025010000000000000000E+00
1.357575757575750000000000000000E+00,-2.347299875496890000000000000000E+00,-2.830927137234900000000000000000E+00,-2.833323658684200000000000000000E+00,-2.833323659535150000000000000000E+00
1.367676767676760000000000000000E+00,-2.342546873561060000000000000000E+00,-2.830334095546610000000000000000E+00,-2.832629382029840000000000000000E+00,-2.832629382697000000000000000000E+00
1.377777777777770000000000000000E+00,-2.347263045561490000000000000000E+00,-2.829750117476890000000000000000E+00,-2.831947082241340000000000000000E+00,-2.831947082757640000000000000000E+00
1.387878787878780000000000000000E+00,-2.347077251164500000000000000000E+00,-2.829175390302710000000000000000E+00,-2.831276947340580000000000000000E+00,-2.831276947738000000000000000000E+00
1.397979797979790000000000000000E+00,-2.347891827169950000000000000000E+00,-2.828610076901610000000000000000E+00,-2.830619135032880000000000000000E+00,-2.830619135332100000000000000000E+00
1.408080808080800000000000000000E+00,-2.349546419369160000000000000000E+00,-2.828054317269880000000000000000E+00,-2.829973774492560000000000000000E+00,-2.829973774713090000000000000000E+00
1.418181818181810000000000000000E+00,-2.349196260841440000000000000000E+00,-2.827508229946110000000000000000E+00,-2.829340968089230000000000000000E+00,-2.829340968250300000000000000000E+00
1.428282828282820000000000000000E+00,-2.349642351797630000000000000000E+00,-2.826971913345960000000000000000E+00,-2.828720373333810000000000000000E+00,-2.828720793141550000000000000000E+00
1.438383838383830000000000000000E+00,-2.350343898456310000000000000000E+00,-2.826445447013740000000000000000E+00,-2.828113003397210000000000000000E+00,-2.828113302964810000000000000000E+00
1.448484848484840000000000000000E+00,-2.348970182692960000000000000000E+00,-2.825928892801840000000000000000E+00,-2.827518321975070000000000000000E+00,-2.827518529153420000000000000000E+00
1.458585858585850000000000000000E+00,-2.349631268363280000000000000000E+00,-2.825422295949850000000000000000E+00,-2.826936344854010000000000000000E+00,-2.826936482398610000000000000000E+00
1.468686868686860000000000000000E+00,-2.350329024594140000000000000000E+00,-2.824925686149770000000000000000E+00,-2.826367066748150000000000000000E+00,-2.826367153983320000000000000000E+00
1.478787878787870000000000000000E+00,-2.352331952321430000000000000000E+00,-2.824439078496060000000000000000E+00,-2.825810464154900000000000000000E+00,-2.825810517050800000000000000000E+00
1.488888888888880000000000000000E+00,-2.355854426745190000000000000000E+00,-2.823962474402690000000000000000E+00,-2.825266496366590000000000000000E+00,-2.825266527811680000000000000000E+00
1.498989898989890000000000000000E+00,-2.347547957228690000000000000000E+00,-2.823495862461370000000000000000E+00,-2.824735106285000000000000000000E+00,-2.824735126692660000000000000000E+00
1.509090909090900000000000000000E+00,-2.349977672000030000000000000000E+00,-2.823039219249720000000000000000E+00,-2.824216221831840000000000000000E+00,-2.824216239430290000000000000000E+00
1.519191919191910000000000000000E+00,-2.356902974598150000000000000000E+00,-2.822592510093360000000000000000E+00,-2.823709756988010000000000000000E+00,-2.823709778112410000000000000000E+00
1.529292929292920000000000000000E+00,-2.348358433350830000000000000000E+00,-2.822155689785470000000000000000E+00,-2.823215612931310000000000000000E+00,-2.823215642170520000000000000000E+00
1.539393939393930000000000000000E+00,-2.356131187105930000000000000000E+00,-2.821728703267190000000000000000E+00,-2.822733678696150000000000000000E+00,-2.822733719325360000000000000000E+00
1.549494949494940000000000000000E+00,-2.352459267289570000000000000000E+00,-2.821311486271930000000000000000E+00,-2.822263832102370000000000000000E+00,-2.822263886488420000000000000000E+00
1.559595959595950000000000000000E+00,-2.355301745099200000000000000000E+00,-2.820903965936480000000000000000E+00,-2.821805941538580000000000000000E+00,-2.821806010621520000000000000000E+00
1.569696969696960000000000000000E+00,-2.356507573999270000000000000000E+00,-2.820506061381510000000000000000E+00,-2.821359865204460000000000000000E+00,-2.821359949556590000000000000000E+00
1.579797979797970000000000000000E+00,-2.355477301312480000000000000000E+00,-2.820117684263950000000000000000E+00,-2.820925453221060000000000000000E+00,-2.820925552777720000000000000000E+00
1.589898989898980000000000000000E+00,-2.355116056423140000000000000000E+00,-2.819738739303350000000000000000E+00,-2.820502548227690000000000000000E+00,-2.820502662167100000000000000000E+00
1.600000000000000000000000000000E+00,-2.351705606812910000000000000000E+00,-2.819369124784260000000000000000E+00,-2.820090985343540000000000000000E+00,-2.820091112716750000000000000000E+00
